"adult","backdrop_path","belongs_to_collection","budget","genres","homepage","id","genre","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
false,,,0,"[{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]","",513499,"History","tt6060600","en","Kindah","Shot in Hudson NY and Accompong, Jamaica. Accompong, Jamaica was founded in 1739 after rebel slaves and their descendants fought a protracted war with the British leading to the establishment of a treaty between the two sides. The treaty signed under British governor Edward Trelawny granted Cudjoe’s Maroons 1500 acres of land between their strongholds of Trelawny Town and Accompong in the Cockpits and a certain amount of political autonomy and economic freedoms.Cudjoe, a leader of the Maroons, is said to have united the Maroons in their fight for autonomy under the Kindah Tree—a large, ancient mango tree that is still standing.",0.6,"/6qjHEsD78oQu5tmeU7mwBLwxAeQ.jpg","[]","[{""iso_3166_1"":""JM"",""name"":""Jamaica""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2016-10-01",0,12,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","","Kindah",false,5.8,4
false,,,0,"[{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""},{""id"":99,""name"":""Documentary""}]",,514715,"History","tt1579314","cr","Aluku liba","After years of serving in the army and drifting across the Amazon, Loeti yearns to go back to his land, to find his roots, and be amongst his people, the Aluku, the first Maroons of French Guiana and Suriname.  One night, due to a crackdown on illegal gold mining, Loeti is forced to flee the site where he is working. Lost in the Amazon forest, he must use what is left of his childhood knowledge of the forest, to find his way back and combat the many deadly perils that lurk with every step. He is guided by the spirits, the animals, a compass, and his prayers.  An intense reunion confronts Loeti with a changing world where old traditions and values are both challenged and influenced by the invading modern world.  Loeti must deal with his past and grapple with what remains of the Aluku's ancient African customs by immersing himself in their magical world.",1.122,"/ifEIO9teEp7vvcrbVjzbEysG3lO.jpg","[]","[{""iso_3166_1"":""CA"",""name"":""Canada""},{""iso_3166_1"":""GF"",""name"":""French Guiana""},{""iso_3166_1"":""SR"",""name"":""Suriname""}]","2009-03-28",0,90,"[{""english_name"":""Cree"",""iso_639_1"":""cr"",""name"":""""}]","Released","","Aluku liba",false,5,1
false,"/8vd7goVJUSzxTkqSP5igdbg4Xux.jpg",,0,"[{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]","http://www.bbc.co.uk/programmes/b09z8d01",518227,"History","tt8338622","en","Bacchus Uncovered: Ancient God of Ecstasy","Professor Bettany Hughes investigates the story of Bacchus, god of wine, revelry, theatre and excess, travelling to Georgia, Jordan, Greece and Britain to discover his origins and his presence in the modern world, and explore how 'losing oneself' plays a vital role in the development of civilisation.  Bettany begins in Georgia where she discovers evidence of the world's oldest wine production, and the role it may have played in building communities. In Athens she reveals Bacchus's pivotal role in a society where his ecstatic worship was embraced by all classes, and most importantly women. On Cyprus she uncovers startling parallels between Bacchus and Christ. Finally, Bettany follows the god's modern embrace in Nietzsche's philosophy, experimental theatre and the hedonistic hippie movement to conclude that, while this god of ecstasy is worthy of contemporary reconsideration, it is vital to heed the warning of the ancients - ""MEDEN AGAN"" - nothing in excess.",0.601,"/gzeKd2Ez3lASlUsMXTzcpoGbY3G.jpg","[]","[]","2018-04-11",0,58,"[]","Released","MEDEN AGAN - nothing in excess.","Bacchus Uncovered: Ancient God of Ecstasy",false,0,0
false,"/8X6yHb2w0uaxLjOtBVTmsr2M8kq.jpg",,0,"[{""id"":53,""name"":""Thriller""},{""id"":35,""name"":""Comedy""},{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]","http://dmitrfrolov.narod.ru/EN/The_Bigmoon_Nights.html",519454,"History","tt5784522","ru","Ночи полнолуния","The film ""Nights full moon"" shows the tendency of moral decay in society. The main character is torn apart by internal contradictions, leading him to the path of Evil. Bans on self-identification - philosophical, existential, sexual, and then permissiveness spawn a monster that is not aware of its true nature and genuine desires. Throughout the film-trilogy, the protagonist goes through a series of temptations that ruin his soul and lead, after all, to a madhouse. In a general sense, the film allegorically shows the tragic path of the Russian lumpen intellectual, lost between the past and the present, not finding the strength to accept and comprehend the unexpected changes that happened in our country twenty years ago. In the global sense - the tragic circle of Russian history.",0.6,"/rA5kzzEK3lygsb7GYCx0IWsmo3p.jpg","[]","[{""iso_3166_1"":""SU"",""name"":""Soviet Union""}]","1991-04-19",0,84,"[]","Released","","The Bigmoon Nights",false,7.3,3
false,,,0,"[{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""}]","",523941,"History","tt8396228","sk","Dubček - Krátka jar, dlhá zima","Exactly fifty years ago, social changes took place in the Czechoslovakia, which markedly shaped their history, the so-called Prague Spring was in full swing. They were headed by Alexander Dubček, the first secretary of the Central Committee of the Communist Party, a popular politician who began to implement the idea of ​​""socialism with a human face"". All hopes for change ended the invasion of Warsaw Pact troops and the strong intervention of the then General Secretary of the CPSU UV Leonid Brezhnev. The historical drama Dubček deals with the key moments of the year 1968, which fundamentally influenced not only the life of the then very popular politician, but also the life in the whole country. The whole story is conceived as a retrospective that begins and ends on the day of Alexander Dubček's fateful journey to Prague in 1992, during which he commemorates the breakthrough events of his life.",0.631,"/bNpJuSz1S11uINYOvD9jx71hLtP.jpg","[]","[]","2018-04-19",0,90,"[{""english_name"":""Czech"",""iso_639_1"":""cs"",""name"":""Český""},{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""},{""english_name"":""Slovak"",""iso_639_1"":""sk"",""name"":""Slovenčina""}]","Released","Dubček","Dubček",false,4,1
false,"/puScb607D1bMqZFL6un10sFyxX2.jpg",,0,"[{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]","http://www.telecon.kiev.ua/eng/projects/chernobyl_3828.html",525928,"History","tt10484274","ru","Чорнобиль.3828","Military people call such places ""FRONTLINE"", liquidators who worked at the Chernobyl nuclear station called it ""ROOF COATING"". It was the most contaminated, and therefore the most dangerous, place in the zone. The remains of the roof coating of the 4th reactor. The operation on decontaminating the roof lasted more than five months. We will tell about only two days. About the most important two days in the life of an explorer - dosimetrist Valeriy Starodumov. He participated in this operation until it was over. He himself came out to the roof and led people there. He himself planted the ""victory banner"" at the level of 75 meters, as the signal for the zone: the roof coating has been decontaminated! Now, 25 years later, Valeriy Starodumov comes back to the zone. Now Chernobyl is a tourist object. But not for him...",1.094,"/gYJKdUHxr3qNb6Vu2lyUfz8LESF.jpg","[{""id"":104896,""logo_path"":null,""name"":""Telecon Studio"",""origin_country"":""UA""}]","[{""iso_3166_1"":""UA"",""name"":""Ukraine""}]","2011-12-14",0,27,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""},{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""}]","Released","","Chernobyl.3828",false,0,0
false,"/twiYI6VUcDCc8zlNBQmS9o71UKn.jpg",,0,"[{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]",,525935,"History","tt7699730","en","Black Jack Pershing: Love and War","""Black Jack Pershing: Love and War"" chronicles the historic life of WWI General John J. Pershing. Pershing's U.S. troops overcame a better trained and equipped German Army to help the Allies win World War I. America's success in the Great War turned our nation into a global superpower. To do that, Pershing had to overcome personal tragedy and heartbreak that may have given him the extraordinary strength to command U.S. troops in WWI. Relying on extensive personal letters, photos, films, and diaries from Pershing's life, this documentary covers his arduous childhood days in Missouri, his West Point military training, his time as a U.S. Cavalry officer who commanded black soldiers and Native American scouts, Pershing's search with 10,000 U.S. troops for Mexican revolutionary General Pancho Villa and Pershing's rise to become America's only active-duty six-star general as commander of the American Expeditionary Forces in WWI. Written by Bernard McCoy",0.6,"/6nSJ7ueYTktv5ZAUQR5hAnS3Ojp.jpg","[]","[]","2017-01-01",0,57,"[]","Released","","Black Jack Pershing: Love and War",false,0,0
false,,,0,"[{""id"":99,""name"":""Documentary""},{""id"":12,""name"":""Adventure""},{""id"":36,""name"":""History""}]",,526105,"History","tt4215970","en","Camp 32","Hom Chhorn has a young family and a comfortable life in suburban Melbourne, yet remains wracked by childhood memories of the atrocities he witnessed as a boy. At age 6, he was imprisoned at a remote site in rural Cambodia. There are no records of the labour camp where Hom bore witness to a daily succession of cruelty, starvation, disease and cold blooded executions. After 33 years, Hom returns to his former homeland to shed light on Camp 32. Hom crisscrosses the country searching for survivors and leads. Frustrated and no closer to finding Camp 32, he flags a taxi to take him to his father and brother's memorial stone. What happens next will change Hom's life forever.",0.6,"/78fBMz8mzr8Hz0D6jACp2Bzwdfu.jpg","[]","[]","2014-05-24",0,72,"[]","Released","","Camp 32",false,0,0
false,,,0,"[{""id"":99,""name"":""Documentary""},{""id"":36,""name"":""History""}]",,529518,"History",,"en","Big Boy - Last of the Giants Volume II - The Cheyenne Shops","Cheyenne was a bustling hub for UP steam in the 1950s. It""s where the Big Boys were based during their last years of operation powering freights over Sherman Hill to Laramie. In Volume 2, you""ll go on a tour of the coal chute and servicing areas, take a spin on the turntable that served the 48-stall roundhouse, and visit the backshop where the Big Boys were rebuilt. You""ll hear the stories of the men who once worked on these famous locomotives and will learn about the operational layout and design of the Cheyenne yards as they were in the late 1950s. The footage used in this production was shot by UP cameramen over a 3 year period, with updated material added by Pentrex in 1993. It""s an unforgettable visit!",0.6,"/tHzUcRhwI4V7GOzGiqMOThTKoEh.jpg","[{""id"":40776,""logo_path"":null,""name"":""Pentrex"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","1993-03-11",0,60,"[]","Released","","Big Boy - Last of the Giants Volume II - The Cheyenne Shops",false,0,0
false,,,0,"[{""id"":18,""name"":""Drama""},{""id"":36,""name"":""History""}]","",530355,"History","tt0319693","bg","Князът","At the end of 13th and the beginning of the 14th century twenty-four-years old, Prince Svetoslav Terter takes the helm of the state. The young Prince engages in a intricate political game, into getting his way by means of court intrigues, and is forced by circumstances. Svetoslav Terter is remarkably shrewd and consistent. He is perhaps the only head of state at this time to take the liberty of impeaching the primate of the country's church. He tries to rally the neighboring Slav people to a joint resistance to the Turkish conquest. Terter lives through a great personal tragedy. He becomes estranged from his dearest person, Mariya, who is too weak to join him on the difficult road of his choice. (written by Georgi Djulgerov)",0.6,"/zLP3V3f7uauYhCpjc0e9PZIgEhE.jpg","[{""id"":15567,""logo_path"":null,""name"":""Boyana Film"",""origin_country"":""BG""}]","[{""iso_3166_1"":""BG"",""name"":""Bulgaria""}]","1970-05-29",0,101,"[{""english_name"":""Bulgarian"",""iso_639_1"":""bg"",""name"":""български език""}]","Released","","The Prince",false,0,0
