"adult","backdrop_path","belongs_to_collection","budget","genres","homepage","id","genre","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
false,"/2at55O0N9cXwr5fW9bfM8WG5pAi.jpg","{""id"":2150,""name"":""Shrek Collection"",""poster_path"":""/qNHZMe92A7Pyl46qUH29hVOtbSK.jpg"",""backdrop_path"":""/gMWrKQjoTIpYjhc8SxZF20EDIES.jpg""}",60000000,"[{""id"":16,""name"":""Animation""},{""id"":35,""name"":""Comedy""},{""id"":14,""name"":""Fantasy""},{""id"":12,""name"":""Adventure""},{""id"":10751,""name"":""Family""}]","http://www.dreamworksanimation.com/shrek/",808,,"tt0126029","en","Shrek","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",163.044,"/dyhaB19AICF7TO7CK2aD6KfymnQ.jpg","[{""id"":521,""logo_path"":""/kP7t6RwGz2AvvTkvnI1uteEwHet.png"",""name"":""DreamWorks Animation"",""origin_country"":""US""},{""id"":7,""logo_path"":""/vru2SssLX3FPhnKZGtYw00pVIS9.png"",""name"":""DreamWorks Pictures"",""origin_country"":""US""},{""id"":520,""logo_path"":""/pU7YTI9FfrICurXpl5V9TfCO0oJ.png"",""name"":""Pacific Data Images"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2001-05-18",487853320,90,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","The greatest fairy tale never told.","Shrek",false,7.7,13940
false,"/mMtUybQ6hL24FXo0F3Z4j2KG7kZ.jpg",,0,"[{""id"":10749,""name"":""Romance""},{""id"":16,""name"":""Animation""},{""id"":18,""name"":""Drama""}]","https://www.funimationfilms.com/movie/yourname/",372058,,"tt5311514","ja","君の名は。","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",162.669,"/q719jXXEzOoYaps6babgKnONONX.jpg","[{""id"":3756,""logo_path"":""/t38uPdbKmyBB8brKKeTFWIwojRz.png"",""name"":""CoMix Wave Films"",""origin_country"":""JP""},{""id"":882,""logo_path"":""/fRSWWjquvzcHjACbtF53utZFIll.png"",""name"":""Toho"",""origin_country"":""JP""},{""id"":2073,""logo_path"":""/6FlTZGliYTN2HaS9Qq6tCdZItWc.png"",""name"":""Kadokawa"",""origin_country"":""JP""},{""id"":8157,""logo_path"":""/yHOC2PPmj6j2zzRqwdufCZauFxI.png"",""name"":""East Japan Marketing & Communications"",""origin_country"":""JP""},{""id"":14602,""logo_path"":""/t9eqx5QCHtu8LxxgYzivqrJAosp.png"",""name"":""AMUSE"",""origin_country"":""JP""},{""id"":128617,""logo_path"":null,""name"":""voque ting"",""origin_country"":""JP""},{""id"":104184,""logo_path"":null,""name"":""Lawson Entertainment"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2016-08-26",357986087,106,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","It Takes Years to Find The Right Person to Ask... What's Your Name?","Your Name.",false,8.5,8781
false,"/qKTIpGVuYeuXIrokxxxedgELtdv.jpg",,0,"[{""id"":16,""name"":""Animation""}]","",439157,,"","ja","ドラゴンボールZ 復活の「F」 “未来”トランクス特別編","An extended version of Dragon Ball Z: Resurrection 'F featuring extra scenes where Future Trunks remembers the battle of Goku against Frieza and has a confrontation with Goku Black.",187.779,"/fElTXRuElUkG7f4HtTfBWwsKkEQ.jpg","[]","[]","2016-08-10",0,0,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Dragon Ball Z: Resurrection 'F - Future Trunks Special Edition",false,7.5,115
false,"/wBfvAZ9y5D2HjtHKiLiwsTxP8iu.jpg","{""id"":315595,""name"":""Tinker Bell Collection"",""poster_path"":""/wzt5eeX5YeJ4CLi165id4dKEgfW.jpg"",""backdrop_path"":""/8wvxr06XNW2zofbOHQqEgokTmLx.jpg""}",0,"[{""id"":16,""name"":""Animation""},{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""},{""id"":12,""name"":""Adventure""}]","",75258,,"tt1217213","en","Secret of the Wings","Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.",138.95,"/bnbzEKX9LgDuJ0VBGm5d60mKDaR.jpg","[{""id"":5391,""logo_path"":""/o5AcK10ViutenSa4XTD18ClCEWe.png"",""name"":""DisneyToon Studios"",""origin_country"":""US""},{""id"":22135,""logo_path"":null,""name"":""Prana Animation Studios"",""origin_country"":""""}]","[{""iso_3166_1"":""IN"",""name"":""India""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2012-08-17",0,92,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Two Worlds. One Magical Secret.","Secret of the Wings",false,7.1,955
false,"/c7VbRPlev1bRfKvTxr98erw5T7B.jpg","{""id"":137696,""name"":""Monsters, Inc. Collection"",""poster_path"":""/4Cp0L58Rg1bSJSsT6uw7OuU4nYc.jpg"",""backdrop_path"":""/x4Mq7gDRhbqDjw4SkemLvd1yzF3.jpg""}",115000000,"[{""id"":16,""name"":""Animation""},{""id"":35,""name"":""Comedy""},{""id"":10751,""name"":""Family""}]","http://movies.disney.com/monsters-inc",585,,"tt0198781","en","Monsters, Inc.","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",189.933,"/sgheSKxZkttIe8ONsf2sWXPgip3.jpg","[{""id"":3,""logo_path"":""/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png"",""name"":""Pixar"",""origin_country"":""US""},{""id"":2,""logo_path"":""/wdrCwmRnLFJhEoH8GSfymY85KHT.png"",""name"":""Walt Disney Pictures"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2001-11-01",579707738,92,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","We Scare Because We Care.","Monsters, Inc.",false,7.8,15569
false,"/wXsQvli6tWqja51pYxXNG1LFIGV.jpg","{""id"":94032,""name"":""The Lion King Collection"",""poster_path"":""/oG1heUs503GV6xBnFhgyYTGWm05.jpg"",""backdrop_path"":""/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg""}",45000000,"[{""id"":10751,""name"":""Family""},{""id"":16,""name"":""Animation""},{""id"":18,""name"":""Drama""}]","http://movies.disney.com/the-lion-king",8587,,"tt0110357","en","The Lion King","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",164.733,"/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg","[{""id"":2,""logo_path"":""/wdrCwmRnLFJhEoH8GSfymY85KHT.png"",""name"":""Walt Disney Pictures"",""origin_country"":""US""},{""id"":171656,""logo_path"":null,""name"":""Walt Disney Feature Animation"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","1994-06-23",763455561,89,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Life's greatest adventure is finding your place in the Circle of Life.","The Lion King",false,8.3,15382
false,"/1I8QhrrHKaxGE3e0f2S75kqrxd9.jpg","{""id"":425164,""name"":""Dragon Ball Z Collection"",""poster_path"":""/2VMZ1zRFPnUQtQp5K4WRXvDYBjh.jpg"",""backdrop_path"":""/7PcbijxTfwi9vjWEfXdS0ReAw8q.jpg""}",0,"[{""id"":16,""name"":""Animation""},{""id"":28,""name"":""Action""},{""id"":878,""name"":""Science Fiction""}]","",39106,,"tt0142234","ja","ドラゴンボールＺ 超戦士撃破!!勝のはオレだ","Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan.",171.228,"/A0VKJ6eRIubW6wH4eAwcpQfjoRD.jpg","[{""id"":5822,""logo_path"":""/qyTbRgCyU9NLKvKaiQVbadtr7RY.png"",""name"":""Toei Company"",""origin_country"":""JP""},{""id"":24051,""logo_path"":null,""name"":""Bird Studios"",""origin_country"":""JP""},{""id"":5542,""logo_path"":""/ayE4LIqoAWotavo7xdvYngwqGML.png"",""name"":""Toei Animation"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","1994-07-09",19500000,50,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Dragon Ball Z: Bio-Broly",false,5.7,408
false,"/hofnlIyF6bePkgQOpcuRWLvzf15.jpg",,60000000,"[{""id"":16,""name"":""Animation""},{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""}]","http://coraline.com/",14836,,"tt0327597","en","Coraline","When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",194.375,"/gPMh5rsVrDDAYMDbTcz6Up1DQ4z.jpg","[{""id"":10146,""logo_path"":""/xnFIOeq5cKw09kCWqV7foWDe4AA.png"",""name"":""Focus Features"",""origin_country"":""US""},{""id"":11537,""logo_path"":""/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png"",""name"":""Laika Entertainment"",""origin_country"":""US""},{""id"":8915,""logo_path"":null,""name"":""Pandemonium"",""origin_country"":""""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2009-02-05",124600000,100,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""},{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""}]","Released","Be careful what you wish for.","Coraline",false,7.8,5815
false,"/mUC2BS04DlszdqJQ9vz9MFuPiDd.jpg","{""id"":23616,""name"":""Naruto Collection"",""poster_path"":""/q9rrfRgPUFkFqDF74jlvNYp3RpN.jpg"",""backdrop_path"":""/prLI2SNNkd9wcQkFh9iWXzQtR5D.jpg""}",29000000,"[{""id"":16,""name"":""Animation""},{""id"":28,""name"":""Action""},{""id"":14,""name"":""Fantasy""}]","http://www.naruto-movie.com/",20982,,"tt0988982","ja","劇場版 NARUTO -ナルト- 疾風伝","Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",194.169,"/vDkct38sSFSWJIATlfJw0l3QOIR.jpg","[{""id"":3234,""logo_path"":""/wTPPnz05ZCQgEQVeSOxTkUCyhr5.png"",""name"":""Pierrot"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2007-08-04",0,94,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Naruto Shippuden the Movie",false,7.2,443
false,"/eN1TMy5hT72G2v92x5cNM5trdFv.jpg","{""id"":425164,""name"":""Dragon Ball Z Collection"",""poster_path"":""/2VMZ1zRFPnUQtQp5K4WRXvDYBjh.jpg"",""backdrop_path"":""/7PcbijxTfwi9vjWEfXdS0ReAw8q.jpg""}",0,"[{""id"":16,""name"":""Animation""},{""id"":878,""name"":""Science Fiction""},{""id"":28,""name"":""Action""}]","",34433,,"tt0142242","ja","ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦","While the Saiyan Paragus persuades Vegeta to rule a new planet, King Kai alerts Goku of the South Galaxy's destruction by an unknown Super Saiyan.",181.793,"/6iO8TJCyLI4BiPYOvdwzPV2bhoV.jpg","[{""id"":5822,""logo_path"":""/qyTbRgCyU9NLKvKaiQVbadtr7RY.png"",""name"":""Toei Company"",""origin_country"":""JP""},{""id"":24051,""logo_path"":null,""name"":""Bird Studios"",""origin_country"":""JP""},{""id"":5542,""logo_path"":""/ayE4LIqoAWotavo7xdvYngwqGML.png"",""name"":""Toei Animation"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","1993-03-06",21658982,70,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Dragon Ball Z: Broly – The Legendary Super Saiyan",false,7.2,652
