"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path"
false,"[]","From Wikipedia, the free encyclopedia.

Raja Raymond Gosnell (born December 9, 1958) is an American film director and editor. He was born in Los Angeles, California.

Description above from the Wikipedia article Raja Gosnell, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1958-12-09",,2,,1215,"nm0331532","Editing","Raja Gosnell","Los Angeles, California, USA",11.448,"/dIovlHUjOfBEhqrUENBaRmGIAc0.jpg"
false,"[]","",,,1,,1586194,,"Directing","Jenny Gage","USA",1.96,
false,"[""Peter W. Berg"",""Pete Berg"",""피터 버그""]","Peter Berg (born March 11, 1964) is an American actor, film director, producer and writer. He is known for directing films such as Friday Night Lights, The Kingdom, The Rundown, Hancock and Battleship. He is highly regarded for developing the television series Friday Night Lights, based on the film of the same name which he also directed. In his more recent career he has worked to bring to the big screen true stories of ordinary Americans placed into extraordinary situations (Lone Survivor, Deepwater Horizon, Patriots Day). As an actor he is best known for his role as Dr. Billy Kronk on the 1990s-era CBS medical drama Chicago Hope.

Description above from the Wikipedia article Peter Berg, licensed under CC-BY-SA, full list of contributors on Wikipedia​","1964-03-11",,2,,36602,"nm0000916","Directing","Peter Berg","New York City, New York, USA",11.403,"/1pR16H0zqRG49ns8cYykYpodgGF.jpg"
false,"[""Сабуро Акицу"",""宮崎 駿"",""Хаяо Миядзаки"",""秋津 三朗"",""Akitsu Saburo"",""هاياو ميازاكي"",""ฮะยะโอะ มิยะซะกิ"",""미야자키 하야오"",""宫崎骏"",""हयाओ मियाज़ाकी"",""Hayao Miyazaki""]","Hayao Miyazaki (Miyazaki Hayao, born January 5, 1941) is a Japanese manga artist and prominent film director and animator of many popular anime feature films. Through a career that has spanned nearly five decades, Miyazaki has attained international acclaim as a maker of animated feature films and, along with Isao Takahata, co-founded Studio Ghibli, an animation studio and production company. The success of Miyazaki's films has invited comparisons with American animator Walt Disney, British animator Nick Park as well as Robert Zemeckis, who pioneered Motion Capture animation, and he has been named one of the most influential people by Time Magazine.

Miyazaki began his career at Toei Animation as an in-between artist for Gulliver's Travels Beyond the Moon where he pitched his own ideas that eventually became the movie's ending. He continued to work in various roles in the animation industry over the decade until he was able to direct his first feature film Lupin III: The Castle of Cagliostro which was published in 1979. After the success of his next film, Nausicaä of the Valley of the Wind, he co-founded Studio Ghibli where he continued to produce many feature films until Princess Mononoke whereafter he temporarily retired.

While Miyazaki's films have long enjoyed both commercial and critical success in Japan, he remained largely unknown to the West until Miramax released his 1997 film, Princess Mononoke. Princess Mononoke was the highest-grossing film in Japan—until it was eclipsed by another 1997 film, Titanic—and the first animated film to win Picture of the Year at the Japanese Academy Awards. Miyazaki returned to animation with Spirited Away. The film topped Titanic's sales at the Japanese box office, also won Picture of the Year at the Japanese Academy Awards and was the first anime film to win an American Academy Award.

Miyazaki's films often incorporate recurrent themes, such as humanity's relationship to nature and technology, and the difficulty of maintaining a pacifist ethic. Reflecting Miyazaki's feminism, the protagonists of his films are often strong, independent girls or young women. Miyazaki is a vocal critic of capitalism and globalization.[3] While two of his films, The Castle of Cagliostro and Castle in the Sky, involve traditional villains, his other films such as Nausicaa or Princess Mononoke present morally ambiguous antagonists with redeeming qualities.","1941-01-05",,2,,608,"nm0594503","Directing","Hayao Miyazaki","Tokyo, Japan",12.997,"/mG3cfxtA5jqDc7fpKgyzZMKoXDh.jpg"
false,"[]","Jonathan Liebesman was born in Johannesburg, South Africa on September 15, 1976. He would remain in his home country, studying filmmaking at the South African School of Motion Picture Medium and Live Performance, until 1996; that year, he traveled to New York City to visit his cousin who was attending New York University. Soon after the visit, Jonathan enrolled at NYU's Tisch School of the Arts.

For his student first film, Jonathan turned Roald Dahl's short story Genesis and Catastrophe (2000) into a 8-minute, award-winning short that help him land Hollywood representation; accolades included the 2000 Hollywood Film Festival's Young Filmmaker Award and the Austin Film Festival's Student Short Film Award.

Jonathan would make his feature-film debut in 2002 with Darkness Falls (2003), a dark twist on the Tooth Fairy tale that opened at #1 at the box office despite being critically panned. It also served as the big-screen debut for Emma Caulfield Ford, long a fan-favorite as Anya Jenkins on Buffy the Vampire Slayer (1997).

Rings (2005), his short film that connected The Ring (2002) and its sequel, was first released as a bonus disc with the re-release of The Ring on DVD. The short caught the attention of Michael Bay and his production company, Platinum Dunes, and soon Jonathan was installed as the director of the company's project The Texas Chainsaw Massacre: The Beginning (2006), a prequel to The Texas Chainsaw Massacre (2003), the widely successful remake of the original.

Initially announced as the director of the Friday the 13th reboot, Jonathan's next feature would instead be The Killing Room (2009) with Peter Stormare, Chloë Sevigny, Clea DuVall, Timothy Hutton, Nick Cannon and Shea Whigham. The psychological thriller played the festival circuit before being released on DVD in the United States.

A few months before The Killing Room's Sundance world premiere in January 2009, Jonathan was announced as the director of Battle Los Angeles (2011), an alien-invasion film starring Aaron Eckhart and released by Columbia Pictures. The sci-fi/action film was a worldwide hit and put Jonathan in the running for a handful of big-studio pictures.

Before Battle LA's release, he had handed the job of directing Odysseus as Warner Bros., though that project remains in development at this time. Instead, Jonathan took the reins for Wrath of the Titans (2012), the sequel to successful but maligned Clash of the Titans (2010).","1976-09-15",,2,,66739,"nm0509448","Directing","Jonathan Liebesman","Johannesburg, South Africa",0.991,"/bF6RT5FvdzCRxRc6Ud6FC9JgcIh.jpg"
false,"[""Anthony M. Hemingway""]","Anthony Hemingway is an assistant director and director.",,,2,,1216147,"nm0376006","Directing","Anthony Hemingway",,0.943,"/3npAesb4X5yvxPlUWRHTOFz9RCi.jpg"
false,"[]","",,,0,,2944693,,"Production","David Glover",,0.6,
false,"[]","",,,0,,1335223,"nm3202804","Directing","Jordan Graham",,0.6,
false,"[]","",,,0,,1209832,"nm5504892","Production","Renaud Gauthier",,1.4,"/sKfNzzahN7guw7aqIhc7xV7edfN.jpg"
false,"[]","Tommy Wirkola (born 1979 in Alta, Norway) is a Norwegian filmmaker.","1979-12-06",,2,,76927,"nm2482088","Directing","Tommy Wirkola","Alta, Norway",4.215,"/90Tq9GYih9viOI825KgeV7PKIKG.jpg"
