"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path"
false,"[""Дилан Арнольд""]","Dylan Arnold (born February 11, 1994) is an American actor. He is known for playing Noah in After (2019), a role which he will reprise in After We Collided (2020). He is also known for playing Cameron Elam in Halloween (2018), a role he will reprise in Halloween Kills (2020).","1994-02-11",,2,,1039523,"nm4003553","Acting","Dylan Arnold","USA",17.67,"/pij9g793mb2ZGyyNdEI7TOoJ6i8.jpg"
false,"[]","","1994-05-19",,1,,2161745,"nm9982544","Acting","Khadijha Red Thunder","USA",5.321,"/AggU4kVZ04OjKYM4ZZg1pqVVu8F.jpg"
false,"[]","Shane Paul McGhie (born 26 November 1993) is an American actor.

He attended the University of Southern California (USC), where he graduated with a BFA in Acting in 2016. He is known for his role as Jamal Barry in What Men Want (2019) ,which starred Taraji P. Henson, and for portraying Landon Gibson in the movie After (2019).","1993-11-26",,2,,1684130,"nm6341784","Acting","Shane Paul McGhie","Los Angeles, California, US",4.72,"/xrW5ioE8lihmmuu1ov1wWBpOWYp.jpg"
false,"[]","Hero Fiennes Tiffin (born 6 November 1997) is an English actor and model born in London, England. He is best known for his role as the 11-year-old Tom Riddle, the young version of Lord Voldemort (played in the films by his uncle, Ralph Fiennes) in Harry Potter and the Half Blood Prince (2009). He portrayed Hardin Scott in the movie After (2019).","1997-11-06",,2,,1114487,"nm2842005","Acting","Hero Fiennes Tiffin","London, England, U.K.",29.365,"/6zMrrZvOMH6uGwEFoK0Uo8sZvxL.jpg"
false,"[""Джозефин Лэнгфорд"",""Jo Langford""]","Josephine Langford (born 18 August 1997) is an Australian actress best known for her role as Tessa Young in After (2019).","1997-08-18",,1,,1753914,"nm6466214","Acting","Josephine Langford","Perth, Australia",38.517,"/hcAR7LVcjNBdy3LVkWg7sfH0KH4.jpg"
false,"[""Linda Edna Cardellini"",""Linda Edna"",""Edna Cardellini "",""린다 카델리니""]","Linda Edna Cardellini (born June 25, 1975) is an American actress. In television, she is known for her leading roles in the teen drama Freaks and Geeks (1999–2000), the medical drama ER (2003–09), the drama thriller Bloodline (2015–17), and the tragicomedy Dead to Me (2019–present), the latter of which earned her a nomination for the Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series. She also guest starred in the period drama Mad Men (2013–15), for which she received a Primetime Emmy Award nomination. Her voice work includes the animated series Scooby-Doo! Mystery Incorporated (2010–13), Regular Show (2012–15), Gravity Falls (2012–16), and Sanjay and Craig (2013–16).

In film, Cardellini is best known for her portrayal of Velma Dinkley in Scooby-Doo (2002) and its sequel Scooby-Doo 2: Monsters Unleashed (2004), and her supporting roles in Legally Blonde (2001), Brokeback Mountain (2005), Grandma’s Boy (2006), Kill the Irishman (2011), Avengers: Age of Ultron (2015), The Founder (2016), Green Book, A Simple Favor (both 2018), and Avengers: Endgame (2019). She also starred in the drama Return (2011), earning an Independent Spirit Award for Best Female Lead nomination, the comedies Daddy's Home (2015) and Daddy's Home 2 (2017), and the horror film The Curse of La Llorona (2019).

Description above from the Wikipedia article Linda Cardellini, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1975-06-25",,1,,1817,"nm0004802","Acting","Linda Cardellini","Redwood City, California, USA",32.611,"/bcycvynDprC1rrhBNrnBjn5uOUd.jpg"
false,"[""Matthew Lyn Lillard"",""Matt Lillard""]","Matthew Lyn Lillard (born January 24, 1970) is an American actor, comedian, director, and producer. His early film work includes Chip Sutphin in Serial Mom (1994), Emmanuel ""Cereal Killer"" Goldstein in Hackers (1995), Stu Macher in Scream (1996), Stevo in SLC Punk! (1998), Brock Hudson in She's All That (1999), and Billy Brubaker in Summer Catch (2001). He played Shaggy Rogers in Scooby-Doo (2002) and its sequel Scooby-Doo 2: Monsters Unleashed (2004), and in animation, he has been the voice of Shaggy since Casey Kasem retired from the role in 2009.

Lillard's later film roles include Jerry Conlaine in Without a Paddle (2004), Dez Howard in The Groomsmen (2006), Joey in Home Run Showdown (2012), and Jack Rusoe in Return to Nim's Island (2013). While much of his work is comedic in nature, Lillard has also given dramatic performances in movies such as The Descendants (2011), Trouble with the Curve (2012), Match (2014), and Twin Peaks: The Return (2017). He made his directorial debut with the coming-of-age drama Fat Kid Rules the World (2012). From 2018 to 2021, Lillard also starred as Dean Boland in the television series Good Girls.

Description above from the Wikipedia article Matthew Lillard, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1970-01-24",,2,,26457,"nm0000498","Acting","Matthew Lillard","Lansing, Michigan, USA",22.882,"/gXOanRx8ebM5jL9ZN9clKfFlQL0.jpg"
false,"[""Sarah Michelle Prinze"",""Σάρα Μισέλ Πρινζ"",""Σάρα Μισέλ Γκέλαρ"",""Сара Мишель Геллар""]","Sarah Michelle Prinze (née Gellar; born April 14, 1977) is an American actress, producer, and entrepreneur. After being spotted at the age of four in New York City, she made her screen acting debut in the television film An Invasion of Privacy (1983). A leading role on the teen drama series Swans Crossing (1992) was soon followed by her breakthrough role as Kendall Hart on the ABC daytime soap opera All My Children (1993–1995), for which she received the Daytime Emmy Award for Outstanding Younger Actress in a Drama Series. Gellar received international recognition for her portrayal of Buffy Summers on the WB/UPN television series Buffy the Vampire Slayer (1997–2003), which earned her five Teen Choice Awards, a Saturn Award and a Golden Globe Award nomination.

In film, her most commercially successful performances include I Know What You Did Last Summer (1997), Scream 2 (1997), Cruel Intentions (1999), Scooby-Doo (2002) and Scooby-Doo 2: Monsters Unleashed (2004), The Grudge (2004) and TMNT (2007). She has also appeared in various independent films such as Southland Tales (2006), The Air I Breathe (2007), and Veronika Decides to Die (2009). Having significantly reduced her acting workload since becoming a mother, Gellar has occasionally ventured back into television, headlining the CW drama thriller series Ringer (2011–2012) and the CBS comedy The Crazy Ones (2013–2014), and providing her voice for the Netflix animated series Masters of the Universe: Revelation (since 2021).

In 2015, Gellar, along with Galit Laibow and Greg Fleishman, founded Foodstirs, an e-commerce startup selling baking kits, and in 2017, she released her own cookbook, Stirring Up Fun with Food.

Description above from the Wikipedia article Sarah Michelle Gellar, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1977-04-14",,1,,11863,"nm0001264","Acting","Sarah Michelle Gellar","New York City, New York, USA",22.18,"/sCpCv2ldnrAQN9NVQOE6PYxG8TN.jpg"
false,"[]","Frederick James Prinze Jr. (born March 8, 1976) is an American actor, writer, and producer. He has starred in films such as I Know What You Did Last Summer (1997) and its sequel I Still Know What You Did Last Summer (1998), She's All That (1999), Summer Catch (2001), Scooby-Doo (2002), and its sequel Scooby-Doo 2: Monsters Unleashed (2004). Prinze has also had recurring and starring roles in television shows, including Friends (2002), Boston Legal (2004), Freddie (2005–06) and 24 (2010), and voiced Kanan Jarrus in the Disney XD series Star Wars Rebels. He is the only child of comedian and actor Freddie Prinze.

Description above from the Wikipedia article Freddie Prinze Jr., licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-03-08",,2,,33260,"nm0005327","Acting","Freddie Prinze Jr.","Los Angeles, California, USA",17.237,"/8V9yNBjCNRBKROyjCLKLJGcCBdG.jpg"
false,"[]","From Wikipedia, the free encyclopedia

Jonathan Sagall (born April 23, 1959) is an Israeli actor, film director, TV director and screenwriter.

Description above from the Wikipedia article Jonathan Sagall, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1959-04-23",,2,,6693,"nm0755974","Acting","Jonathan Sagall","Toronto, Ontario, Canada",8.059,"/7gu7vtmJV066ohXNmBV1ya5D6Uq.jpg"
false,"[""캐롤라인 구덜""]","Caroline Goodall (born November 13, 1959) is a British actress and screenwriter.","1959-11-13",,1,"http://imcompany.com.au/actors/caroline-goodall/",6692,"nm0328751","Acting","Caroline Goodall","London, England, UK",5.972,"/4cagGtMqACvkuw6Llq8Li8UJ1AR.jpg"
false,"["" Sir Ben Kingsley "",""Krishna Pandit Bhanji"",""بن كينغسلي"",""벤 킹즐리"",""ベン・キングズレー"",""เบน คิงสลีย์"",""本·金斯利"",""Бен Кингсли"",""Krishna Bhanji"",""Σερ Μπεν Κίνγκσλεϊ"",""Μπεν Κίνγκσλεϊ"",""बेन किंग्सले""]","Sir Ben Kingsley, CBE (born 31 December 1943), born Krishna Pandit Bhanji , is a British actor. He has won an Oscar, BAFTA, Golden Globe and Screen Actors Guild awards in his career. He is known for starring as Mohandas Gandhi in the film Gandhi in 1982, for which he won the Academy Award for Best Actor. He is also known for his performances in the films Schindler's List (1993), Prince of Persia: The Sands of Time (2010), and House of Sand and Fog.","1943-12-31",,2,,2282,"nm0001426","Acting","Ben Kingsley","Yorkshire, England, UK",17.353,"/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg"
false,"[""벤 포스터""]","Ben Foster (born October 29, 1980) is an American actor. His film roles include The Laramie Project, Liberty Heights, Get Over It, Hostage, X-Men: The Last Stand, Alpha Dog, 30 Days of Night, The Messenger, Bang Bang You're Dead and Pandorum. He received best supporting actor nominations from both the Saturn and Satellite Awards for his 2007 role in the film 3:10 to Yuma.

​From Wikipedia, the free encyclopedia","1980-10-29",,2,,11107,"nm0004936","Acting","Ben Foster","Boston, Massachusetts, USA",13.486,"/4le1PMWTGp7y2IBmZEIOHfE3HAB.jpg"
