"adult","backdrop_path","belongs_to_collection","budget","genres","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
false,"/8y0TzKXeyQa56YVduWU3R63d361.jpg",,0,"Animation","",284995,"tt3919322","en","Scooby-Doo! Frankencreepy","Scooby-Doo and those ""meddling kids"" Shaggy, Fred, Daphne and Velma are back in this all-new original movie! Velma discovers she's inherited her great-great-uncle Dr. Von Dinkenstein’s cursed castle in the terrifying town of Transylvania…Pennsylvania, that is. Just when the Gang persuades Velma to go claim her inheritance, the ghost of Dinkenstein Castle blows up the Mystery Machine as a warning! Now the Crew must spring back into action, but this time it's personal! Who's responsible for the Dinkenstein monster? What family secret has Velma been hiding? Will Fred recover from the loss of his beloved Mystery Machine? Can any helpless snack survive Scooby and Shaggy's monster-sized appetites? This Scooby-Doo adventure has enough spooky fun to make the whole family come alive!",23.527,"/9Ql1KEdLPr0bl5503qFiUscDT1q.jpg","[{""id"":2785,""logo_path"":""/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png"",""name"":""Warner Bros. Animation"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2014-08-19",0,74,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Scooby-Doo and those ""meddling kids"" Shaggy, Fred, Daphne and Velma are back in this all-new adventure!","Scooby-Doo! Frankencreepy",false,7.8,144
false,"/zaBvhoIt9kGsA2dVuVrhZDhKOcP.jpg",,0,"Animation","https://stolenprincess.com/en/",463116,"tt5378092","uk","Викрадена принцеса: Руслан і Людмила","This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didn’t even suspect that she is the King’s daughter. However, the lovers’ happiness wasn’t meant to last too long. Chernomor, the evil sorcerer, appeared in a magic vortex and stole Mila right before Ruslan’s eyes to transform her power of love into his own magic power. Without further ado, Ruslan sets out on a chase after the stolen princess to overcome all obstacles and to prove that real love is stronger than magic.",25.504,"/4v6MoBcbCSI5Kw6AQVYLTJHfxrO.jpg","[{""id"":106008,""logo_path"":""/lxEXqPBVaruHI6VtuVzwMLZnfHb.png"",""name"":""Animagrad Animation Studio"",""origin_country"":""UA""},{""id"":61460,""logo_path"":""/3yPCkEWvnabeiF8l3sjUBHlRq0j.png"",""name"":""Ukrainian State Film Agency"",""origin_country"":""UA""}]","[{""iso_3166_1"":""UA"",""name"":""Ukraine""}]","2018-03-07",0,85,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Love is stronger than magic","The Stolen Princess",false,6.8,99
false,"/hmgY7LbcoIm8YQ7wZG8elRzK8rB.jpg","{""id"":747874,""name"":""Heroes United Collection"",""poster_path"":""/l6PzSGxa777SS2G7mIUdnKJhHeI.jpg"",""backdrop_path"":null}",0,"Animation","http://marvel.com/movies/movie/184/marvels_iron_man_hulk_heroes_united",230896,"tt3221698","en","Iron Man & Hulk: Heroes United","The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet! When two Hydra scientists try to supercharge a Stark Arc Reactor with Hulk's Gamma Energy, they unleash a being of pure electricity called Zzzax - and he's hungry for destruction. Together, Iron Man and Hulk are the only force that stands in the way of the Zzzax's planetary blackout. But first, the super heroic duo will have to get through snarling Wendigos, deadly robots and the scaly powerhouse, Abomination.  Can two of Marvel's mightiest heroes find a way to work together without smashing each other before time runs out?",23.041,"/e7F2ZNA7wMneoSKGonLKjDmjFEd.jpg","[{""id"":13252,""logo_path"":""/aGeUvfSNA8gRl6ZjvmLQOsb7PMw.png"",""name"":""Marvel Animation"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2013-12-03",0,71,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Iron Man and the Hulk team up in groundbreaking Marvel CG Animation.","Iron Man & Hulk: Heroes United",false,5.7,146
false,"/1y6dEBTOzCyJRetN9fOtS0H7Vnx.jpg","{""id"":728947,""name"":""Hulk Vs. Collection"",""poster_path"":""/yLOOmx7kFNyWaiNYbL3Lt2YJoKN.jpg"",""backdrop_path"":null}",0,"Animation","",101907,"","en","Hulk vs. Thor","For ages, Odin has protected his kingdom of Asgard. But every winter, the All-Father must rest and regain his strength for one week. During this time, all of Asgard's foes (including trolls, giants, dark elves, and demons) try to claim the realm for their own, but they are always stopped by Odin's son, the mighty Thor, albeit with the loss of many brave Asgardian warriors. Loki, god of mischief, has kidnapped Dr. Bruce Banner and brought him to Asgard with the help of Amora, once Thor's lover, now the supervillain known as the Enchantress. Loki makes Banner angry and he changes into the Hulk. The Enchantress then casts a spell over the Hulk which separates Banner from his monstrous alter-ego and grants Loki control over the Hulk's body.",24.291,"/g3Xba32JckNniqHUobP3UgPq31o.jpg","[{""id"":13252,""logo_path"":""/aGeUvfSNA8gRl6ZjvmLQOsb7PMw.png"",""name"":""Marvel Animation"",""origin_country"":""US""},{""id"":1632,""logo_path"":""/cisLn1YAUuptXVBa0xjq7ST9cH0.png"",""name"":""Lionsgate"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2009-01-27",0,41,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","A Battle Between God and Monster","Hulk vs. Thor",false,6.8,174
false,"/v7GQxa9ZmdMZjt4JwZF54mvAiTv.jpg","{""id"":118415,""name"":""Berserk: Golden Age Arc Collection"",""poster_path"":""/vSdILTmbYKvNVk6wKFwSKKp3edm.jpg"",""backdrop_path"":""/iqcxisXlPN9DkqBQDSP0hXCGcKT.jpg""}",0,"Animation","http://www.berserkfilm.com",113082,"tt2210479","ja","ベルセルク 黄金時代篇I 覇王の卵","Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?",29.058,"/vES8WAzjowrMT8gwnoEaCioZXXk.jpg","[{""id"":6687,""logo_path"":null,""name"":""VIZ Media"",""origin_country"":""US""},{""id"":11671,""logo_path"":""/iRdYQdn1eunwV3qAs6RK5Mqwn8Z.png"",""name"":""Studio 4°C"",""origin_country"":""JP""},{""id"":29177,""logo_path"":null,""name"":""Beyond C."",""origin_country"":""JP""},{""id"":174,""logo_path"":""/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png"",""name"":""Warner Bros. Pictures"",""origin_country"":""US""},{""id"":35971,""logo_path"":""/5q5P83YiDQa34FgGd2Wtw7aWBnr.png"",""name"":""Graphinica"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2012-02-03",0,76,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","He trusts no one, only his sword.","Berserk: The Golden Age Arc I - The Egg of the King",false,7.4,332
false,"/sK7vPbt125HfQsvRjVH5jTIaekt.jpg","{""id"":224026,""name"":""Monster High Collection"",""poster_path"":""/rS6zEWNxNE4NNFEIwL4RnerEBC5.jpg"",""backdrop_path"":""/kDsPcm1Qx5zjPNAZ80dBSHdTowH.jpg""}",0,"Animation","http://www.monsterhigh13wishes.com",212470,"tt3159812","el","Monster High: 13 Wishes","It’s a new school year at Monster High™, and the little sister of Clawdeen Wolf™, Howleen, is determined to be more fangtastic than ever.  Her dream of popularity turns out to be easier than anyone imagined when she stumbles upon a genie named Gigi Grant™ who grants her not 3, but 13 Wishes!  But the ghouls quickly learn to be s-careful what you wish for because each wish comes with a dark side, and soon the student disem-body of Monster High™ is turned upside-down!  Join Frankie Stein™, Clawdeen Wolf™, Draculaura™ and the rest of their creeperiffic ghoulfriends as they journey deep inside the magic lantern to save the very soul of Monster High™… while flashing their killer style every step of the way!",24.837,"/eEZJMmzDNUNKoJw6jfmGVWeqqhJ.jpg","[{""id"":6220,""logo_path"":null,""name"":""Mattel"",""origin_country"":""""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2013-10-08",0,73,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Be scare-ful what you wish for","Monster High: 13 Wishes",false,7.3,106
false,"/mWzgMPlQcFZ6lZ449673LS2aCHX.jpg",,0,"Animation","",251768,"tt3468260","en","JLA Adventures: Trapped in Time","Get ready for a battle of the ages when the Justice League faces off against its archenemies, the Legion of Doom, in an all-new movie from DC Comics. A mysterious being known as the Time Trapper arises, and a sinister plan led by Lex Luthor sends the Legion of Doom back in time to eliminate Superman, Wonder Woman and Batman before they become super heroes. For Aquaman, Flash and Cyborg, along with teen super heroes Karate Kid and Dawnstar, the stakes have never been higher, the rescue mission never deadlier. So join the fight for the future as the Justice League confronts its ultimate challenge… the threat of having never existed!",26.081,"/bm8LNDoKWWPnDTEAxJ6VrlPHWub.jpg","[{""id"":429,""logo_path"":""/2Tc1P3Ac8M479naPp1kYT3izLS5.png"",""name"":""DC Comics"",""origin_country"":""US""},{""id"":9993,""logo_path"":""/2Tc1P3Ac8M479naPp1kYT3izLS5.png"",""name"":""DC Entertainment"",""origin_country"":""US""},{""id"":2785,""logo_path"":""/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png"",""name"":""Warner Bros. Animation"",""origin_country"":""US""},{""id"":113519,""logo_path"":""/wxcVGtJwKkElcCXP6A0opM82xu0.png"",""name"":""Warner Home Video"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2014-01-21",0,52,"[{""english_name"":""French"",""iso_639_1"":""fr"",""name"":""Français""},{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","As the sands of time run, thy will shall be done.","JLA Adventures: Trapped in Time",false,6.7,164
false,"/A9Yy4ZRJgTXlKa1KOV92YLTCppn.jpg","{""id"":23456,""name"":""One Piece Collection"",""poster_path"":""/nvAPotUDNcKStSOv2ojGZBNOX8A.jpg"",""backdrop_path"":""/3RqSKjokWlXyTBUt3tcR9CrOG57.jpg""}",0,"Animation","https://one-piece.com/comicsanime/movie/detail/3.html",44725,"tt0997084","ja","ワンピース 珍獣島のチョッパー王国","As the Straw Hat Pirates sail through the Grand Line.A line of geysers erupted from under the Going Merry. And the whole crew find themselves flying over the island. Unfortunatly, Chopper fell off the ship and was separated from his friends. Luffy and the others landed on the other side of the island. Chopper meanwhile finds himself being worshiped as the island's new king by the animals. To make matters worse, a trio of human ""horn"" hunters are on the island. The leader, Count Butler is a violin playing/horn eating human who wants to eat the island's treasure to inherit immense power. Will Luffy & the rest be able to prevent the count from terrorizing the island? And will they be able to convince Momambi that not all pirates are bad?",29.771,"/8uzFccR8F3h7tC9zfIOT063r91N.jpg","[{""id"":5542,""logo_path"":""/ayE4LIqoAWotavo7xdvYngwqGML.png"",""name"":""Toei Animation"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2002-03-02",13107237,56,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","Tony T. Chopper, the new Animal King!","One Piece: Chopper's Kingdom on the Island of Strange Animals",false,6.7,112
false,"/poTFhNtA1kZa3Qb6ulCwa5HPEKb.jpg",,0,"Animation","http://www.aniplexusa.com/expelledfromparadise",304023,"tt2859246","ja","楽園追放","A.D. 2400, DEVA's central council detects an incident of unauthorized access into their mainframe. Someone on Earth was trying to hack into the system. The only information DEVA was able to retrieve was that hacker referred to themselves as ""Frontier Setter.""  To investigate the mysterious hacker's motives, the high officials of DEVA dispatch system Security Third Officer Angela Balzac to the Earth's surface. Equipped with a prosthetic ""material body,"" Angela attempts to make contact with a local agent Dingo, but what awaited her instead was a swarm of Sandworms now infesting the Earth's surface. Angela intercepts the gruesome pests with her exoskeleton powered suit Arhan.",25.652,"/o10E2L0lm3DReXhH49jG2if2MwL.jpg","[{""id"":5542,""logo_path"":""/ayE4LIqoAWotavo7xdvYngwqGML.png"",""name"":""Toei Animation"",""origin_country"":""JP""},{""id"":2883,""logo_path"":""/rDYExnBV61jGQnkhVVrPN4Yl7O1.png"",""name"":""Aniplex"",""origin_country"":""JP""},{""id"":35971,""logo_path"":""/5q5P83YiDQa34FgGd2Wtw7aWBnr.png"",""name"":""Graphinica"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2014-11-15",0,104,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","Where did humanity come from?","Expelled from Paradise",false,6.5,54
false,"/umbSebsRGGS86Y0HzaTUh2mUJOh.jpg","{""id"":106768,""name"":""Tarzan (Animation) Collection"",""poster_path"":""/u8KeFKJma0ZbuaOlBUuMOCPN3u8.jpg"",""backdrop_path"":""/niNBthrQBTWZJFshrqjqD4bqLtI.jpg""}",0,"Animation","",15657,"tt0437503","en","Tarzan II","Experience the beginning of the legend with Disney's Tarzan Ⅱ, a hilarious, all-new, animated motion picture loaded with laughs, irresistible new songs by Phil Collins, and the inspired voice talent of Glenn Close, George Carlin, and Emmy Award winner Brad Garrett. Before he was King of the Jungle, Tarzan was an awkward young kid just trying to fit in. When one of his missteps puts his family in jeopardy, Tarzan decides they would be better off without him. His thrilling new journey brings him face to face with the mysterious Zugor, the most powerful force in the land. Together, Tarzan and Zugor discover that being different is not a weakness and that friends and family are the greatest strength of all. This action-packed adventure is sure to delight the entire family. Get ready to GO APE over Disney's wild, new Tarzan Ⅱ.",32.554,"/akyZuA0YS36nMk8zFeeYwX7zyn2.jpg","[{""id"":5391,""logo_path"":""/o5AcK10ViutenSa4XTD18ClCEWe.png"",""name"":""DisneyToon Studios"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2005-06-13",0,72,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","The Legend Begins","Tarzan II",false,6.1,918
