"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path","success","status_code","status_message"
false,"[]","",,,0,,2746990,"nm1248563","Acting","Marea Lambert Barker",,0.6,,,,
false,"[]","",,,0,,3413866,,"Acting","Emily Gosnell",,0.6,,,,
false,"[]","",,,0,,3413865,,"Acting","Kurt Duval",,1.96,,,,
false,"[""Памела Андерсон"",""Памела Деніз Андерсон"",""Pamela Denise Anderson"",""Πάμελα Ντενίζ Άντερσον"",""Πάμελα Άντερσον"",""Pamela Lee"",""Pamela Anderson Lee"",""帕米拉·安德森"",""帕米拉安德森""]","Pamela Denise Anderson (born July 1, 1967) is a Canadian-American actress, model, producer, author, activist, and former showgirl, known for her roles on the television series Home Improvement, Baywatch, and V.I.P. She was chosen as a Playmate of the Month for Playboy magazine in February 1990. For a time, she was known as Pamela Anderson Lee (or Pamela Lee) after marrying Mötley Crüe drummer Tommy Lee. She maintains dual American and Canadian citizenship. 

Description above from the Wikipedia article Pamela Anderson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1967-07-01",,1,"http://www.pamelaandersonfoundation.org",6736,"nm0000097","Acting","Pamela Anderson","Ladysmith, British Columbia, Canada",15.488,"/9G4tgRMFw3Po623344dnHQzRVkp.jpg",,,
false,"[""David Jordan""]","From Wikipedia, the free encyclopedia.

Jess Q. Harnell (born December 23, 1963) is an American voice actor and singer, best known for voicing Wakko Warner on Animaniacs and Hunter on Road Rovers. Harnell has been the announcer for America's Funniest Home Videos since 1998.

Description above from the Wikipedia article Jess Harnell, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1963-12-23",,2,"https://dpntalent.com/talent/jess-harnell/",84495,"nm0363641","Acting","Jess Harnell","Teaneck, New Jersey, USA",8.38,"/zQ2zg7PL3ut4JhfXMKSRV4FMnxR.jpg",,,
false,"[]","Andrew Bryniarski (born February 13, 1969) is an American actor and a former bodybuilder of Russian descent, who is best known for portraying Leatherface in the remake of the Texas Chainsaw Massacre and its prequel as well as Zangief in the live action Street Fighter movie. He stands at 6-feet-6-inches-tall and weighs approximately 280 lbs.

Description above from the Wikipedia article Andrew Bryniarski, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1969-02-13",,2,,52366,"nm0117420","Acting","Andrew Bryniarski","Philadelphia, Pennsylvania, USA",9.324,"/7WecTlVEkck19VMXTcBfSkmshYL.jpg",,,
false,"[]","",,,1,"https://lmcm.com.au/artists/janis-mcgavin/",1626338,,"Acting","Janis McGavin",,1.964,"/dZbbUJvRnkOsk89uimzYBGufJqR.jpg",,,
false,"[]","",,,0,,3413864,,"Acting","Audrey Gosnell",,0.6,,,,
false,"[]","",,,0,,3413863,,"Acting","Cayley Gosnell",,1.38,,,,
false,"[]","",,,0,,1766350,,"Acting","Bradley Gosnell",,1.96,"/iyw0fU4uJCVs4mfIaSoEb81jefU.jpg",,,
false,"[]","",,,0,,3413862,,"Acting","Celeste Gosnell",,0.6,,,,
false,"[]","",,,0,,3076660,,"Acting","Kyas Sherriff",,1.4,,,,
false,"[]","",,,0,,3413859,,"Acting","Jonathan Coffey",,0.6,,,,
false,"[]","",,,0,,2707629,,"Acting","Simone Dumbleton",,0.6,,,,
