,overview,id,genre,vector
0,"In 1987, to capitalize on his growing success in Europe, Prince toured extensively to promote the album of the same name and sales increased accordingly. However, the United States remained resistant to his latest album, and sales began to drop; it was at this point that Prince decided to film a live concert promoting the new material, for eventual distribution to theaters in America.  Featuring the band that accompanied Prince on his 1987 Sign o' the Times Tour, including dancer Cat Glover, keyboardist Boni Boyer, bassist Levi Seacer, Jr., guitarist Miko Weaver, drummer Sheila E. and former member of The Revolution keyboardist Dr. Fink, the film sees the group perform live on stage (although ""U Got the Look"" is represented by its promotional music video).",38178,Documentary,"[-0.32301104 -0.5868875  -1.7639693   1.0844259   1.7548026   0.9967773
 -0.39483598  0.22727895  0.9242244   1.1619468   0.6289098   1.1496909
 -0.7384577   0.5885555   0.98613334 -1.8735476   0.30179232 -1.4875534
  0.12359847  0.60025203 -1.3250009  -1.2017559   0.10090759 -0.2073292
  0.47024    -0.2438963  -0.5215678  -0.7995479  -1.7037653   0.6296288
 -0.03198189  0.4387307  -0.0080795   1.0721891   0.06756433 -0.04850055
 -0.913751   -0.80332315  1.6578022   1.4892107  -2.586125   -1.5217298
  0.90723     1.6589875  -0.48541868 -2.1974504  -1.4657905  -0.66957694
 -0.8576481  -0.11745836  2.1018713   3.387879   -1.4934696  -2.9718647
  1.5637438  -0.39504892 -1.3092685   1.1414325  -0.61499494 -0.21487658
  0.15484858  1.0516238   0.67779666  0.34052643  2.1179352   0.57380104
 -0.52959865 -0.02880177 -0.36463803 -0.2413552   1.1847787   0.00413922
  1.5302067   0.9884393   1.5390592  -0.61608416  0.26081175  1.0492896
 -0.796902    0.09371441  0.53981465  2.712811   -0.83648103 -0.5213101
 -0.37658593 -0.8631376  -1.0348523  -1.3075175   0.47847804 -0.8802358
 -2.0898097   0.75627357  0.7809038  -0.37655237 -1.517939    1.0299202
 -0.21760778 -0.5477672   0.34922975 -1.0875351 ]"
1,"Established in 1960, Tower Records was once a retail powerhouse with two hundred stores, in thirty countries, on five continents. From humble beginnings in a small-town drugstore, Tower Records eventually became the heart and soul of the music world, and a powerful force in the music industry. In 1999, Tower Records made $1 billion. In 2006, the company filed for bankruptcy. What went wrong? Everyone thinks they know what killed Tower Records: The Internet. But that's not the story. All Things Must Pass is a feature documentary film examining this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder, Russ Solomon.",324253,Documentary,"[-0.02720899  0.22437096 -0.16118246 -0.84761775  0.15744376 -0.24984567
 -1.9302791  -0.2834104   1.1642804  -1.0801462   0.8593528   1.6601744
  0.50035834  0.18174231 -0.7649445  -0.71102285 -1.9059054   0.9136832
  1.1830245  -0.8880127  -2.510982   -1.4081427   1.1897511  -1.2529426
  0.77458495  1.3347583   0.10135049 -0.43345383 -0.08281172  0.4805843
  0.681246   -2.0762534   0.40565175  0.6833184   0.07755272 -1.069263
 -0.90999    -0.9385806  -0.32742926 -1.0831411   0.93276453 -0.18060945
 -0.89119226  0.42842504  0.23878647  0.11361107 -0.7685868   0.1601189
 -0.7046348  -0.7978855   0.2264564   0.81093675 -0.51745385 -0.5875061
 -1.2037519   0.72920585 -1.450054    1.1266248  -0.6080555  -0.68912715
  1.6328182  -0.24419388  0.16274375 -1.0310533   1.2322733  -0.2009279
 -0.9966772   0.2543144   0.36713362 -1.065701    1.1348271   0.5012197
 -0.06823714  0.2693431   0.17547889 -1.0551174   1.0122058   1.6644096
 -1.3529841   1.023583    0.17387885  1.0278227   0.3204089  -0.42394674
 -1.1231146  -0.12111664 -0.79700017  0.35510746  1.2428999   1.266474
  0.18551394 -0.11947504 -0.47629333 -1.0045295   0.4174642   1.6757103
  0.08456815  0.2891963  -0.00501702  0.2838657 ]"
2,"From the creators of You Can Heal Your Life: The Movie comes a compelling portrait of three modern lives in need of new direction and new meaning. In his first-ever movie, Wayne Dyer explores the spiritual journey in the second half of life when we long to find the purpose that is our unique contribution to the world. The powerful shift from the ego constructs we are taught early in life by parents and society—which promote an emphasis on achievement and accumulation—are shown in contrast to a life of meaning, focused on serving and giving back. Filmed on coastal California’s spectacular Monterey Peninsula, The Shift captures every person’s mid-life longing for a more purposeful, soul-directed life.",51270,Documentary,"[-4.0305331e-03 -6.7859236e-04  4.7809295e-03 -1.2309445e-03
 -1.3250996e-03 -1.9411922e-03  2.6604889e-03 -4.6781572e-03
  8.1688975e-04  8.6516951e-04 -2.7727946e-03  3.4720846e-03
  6.0669577e-04 -3.4781516e-04  3.3830777e-03 -1.9434247e-03
  3.2490983e-03  8.2502491e-04 -2.7935915e-03  3.3733697e-04
  1.7264363e-03  5.4444984e-04 -1.7681640e-03  2.3483897e-03
 -1.6389679e-03 -1.5208499e-03 -4.2620976e-03  2.3613817e-03
 -2.1087618e-03 -2.6474705e-03  2.9996450e-03 -3.5906842e-03
  2.4308094e-03 -1.2513590e-03  3.5624406e-03 -3.1664304e-03
 -8.2072214e-04  2.9110257e-03 -2.2660363e-03  7.4287609e-04
  3.7735403e-03  3.8052506e-03  3.6500709e-03 -5.4310041e-04
  4.0647378e-03 -2.7204200e-03 -2.5152999e-03 -2.5122748e-03
  5.0854916e-04 -1.3181032e-04 -4.2790808e-03  4.4715400e-03
 -2.5390133e-03 -4.6065464e-03  4.6075755e-03  1.9910140e-03
 -5.7238449e-05 -2.5502683e-03 -1.8288280e-03 -1.3913481e-03
 -2.5885459e-03  3.4300131e-03  1.6699573e-03  4.8505343e-04
 -9.1370079e-04 -1.5333078e-03  2.6825885e-03 -2.2699223e-03
  1.7451429e-03 -3.6873573e-03  9.3770068e-06  1.3127938e-03
  3.0743475e-03  3.1457180e-03 -3.8764742e-03  2.9785738e-03
 -2.0948341e-03 -3.6876288e-03  1.2666041e-04 -9.6428726e-04
  2.3696036e-03  1.1170078e-03 -3.7452818e-03  4.0248535e-03
 -8.9144171e-04 -1.5499238e-03 -3.3429356e-03  3.1516864e-03
 -1.1239254e-03 -1.4760633e-03  1.9860582e-03 -2.3838708e-03
  2.6805182e-03 -3.1066458e-03 -3.1586541e-03  2.1873512e-04
  2.4892241e-03  4.5127426e-03  3.2546390e-03  3.8229914e-03]"
3,"In 2017, the fittest athletes on Earth took on the unknown and unknowable during four of the most intense days of competition in CrossFit Games history.  ""The Redeemed and the Dominant: Fittest on Earth"" captures all the drama as the top athletes resembling chiseled Grecian gods descend on Madison, Wisconsin, to face a series of trials.  Hercules faced 12; they take on 13.  Emotions run high as a throng of Australian athletes rise to the top.  By the end of the competition, some learn tough lessons - that all that glitters isn't gold, or even bronze - and some learn that they're even stronger than they realized.  The best among them enter the pantheon of the CrossFit giants and earn the right to call themselves the ""Fittest on Earth""",504769,Documentary,"[ 1.18487     0.66302603  0.1262848   1.0562992   0.24922699  1.3808556
 -0.40452942 -0.5021036   0.11690924 -0.79164255  1.2332671  -0.5887808
  0.09936129 -0.9779518   0.7013415   1.5000006  -0.15698808 -0.25115556
  0.9136913  -0.18389566 -1.4009416   0.55246246  1.0713712  -0.48406327
  1.1744661   0.4575016   0.03878667  0.09029972  1.3304232   0.697323
 -0.8437328  -0.8115478  -0.5328636   0.10254919 -1.4636184  -1.2455721
 -1.315575    0.8931026   0.08800915  0.18051147 -0.3275094  -1.5140948
 -0.25277936 -1.3098524   0.9851301  -0.7375553   1.1122546  -1.8689141
  0.62175244  0.21868797  0.62498087 -0.3534263   0.2827446  -0.20075698
 -1.6643595  -0.79099876 -1.2577035   2.468722   -0.81328773 -1.0825605
  1.1264046  -0.8740424   1.2419884   0.15609694 -0.02021988  1.3591102
 -2.668425   -0.6589343   0.3301748  -1.8232675   1.2285391   1.0408243
 -1.0752052   0.17888637  0.18627714 -1.3043634  -0.1757353  -0.3853721
 -0.07702351 -0.80099076  0.41681114  0.03457805 -1.2875019  -1.0012071
  0.01236272 -0.01670371 -0.8453431  -1.190925    0.17627111  0.5733037
 -0.6443831   0.954993   -1.6757344  -0.23685725 -1.3740697  -0.6252161
  1.5857779  -0.5332042  -1.1146387   0.70357007]"
4,"Two physicists discover psychic abilities are real only to have their experiments at Stanford co-opted by the CIA and their research silenced by the demands of secrecy. Yet, as both these 'remote viewers' and our audience learn, the 'more you hide something, the more it shines like a beacon in psychic space and this ancient truth can no longer be suppressed.' The true story of Russell Targ and America's cold war psychic spies, disclosed and declassified for the first time, with evidence presented by a Nobel Laureate, an Apollo Astronaut, and the military and scientific community that has been suppressed for nearly 30 years, now able to speak for the first time.",584546,Documentary,"[-1.9371767e-03  4.8734448e-03 -1.0398650e-03 -3.8220645e-03
 -2.9351839e-04 -3.3870133e-04  7.2308088e-04 -3.7789745e-03
  1.7652146e-03 -2.4033345e-03  5.9772853e-04 -3.9374991e-03
  2.7825285e-03  3.5929580e-03 -1.8729762e-03  4.1545006e-03
 -4.6274243e-03 -4.5270013e-04 -3.9721052e-03 -4.0177754e-03
  1.9311556e-03 -4.7230246e-03  4.2938013e-03  5.1997089e-05
 -1.1943560e-03  1.0528932e-03 -4.7099893e-03 -8.8340887e-05
 -3.5597486e-03  2.7485492e-03 -4.8290743e-03 -1.2358003e-03
 -4.9874437e-04  2.7254615e-03 -9.2820037e-04 -1.1171937e-03
 -1.4211887e-03 -3.7259832e-03 -2.5665073e-03 -6.8783766e-04
  3.1730073e-04 -1.2547467e-03  2.5624754e-03 -1.5228277e-03
  3.7964147e-03  1.2685168e-03 -3.9907689e-03  3.4225888e-03
  4.8396969e-03  4.4455607e-03 -2.1968405e-03 -7.9443812e-04
 -3.7334301e-03  5.5449991e-04  5.7932507e-04  4.1704713e-03
 -4.5754281e-03  2.9611194e-03  4.8735226e-03  3.3937707e-03
  2.4051727e-03 -1.7055611e-03  7.0513703e-04  2.5490918e-03
 -2.7348672e-03 -4.8385151e-03  2.2595464e-03  1.2206757e-03
 -1.7842637e-04 -4.9779890e-03 -4.7586723e-03 -3.1649754e-03
  4.3728212e-03 -1.9197980e-03  2.7537583e-03 -1.7867560e-03
 -3.5555444e-03 -3.8909246e-04  4.8528803e-03  2.8866890e-03
  2.9192714e-03 -1.4327227e-03  4.5571085e-03 -1.7576660e-05
 -2.1518460e-03 -3.5097746e-03  3.0591588e-03 -3.4722714e-05
 -1.8826528e-03  6.7831296e-04 -4.1987989e-03 -1.1829284e-03
  2.5539284e-04 -8.3627919e-04  1.6176935e-03  2.1898097e-03
  3.9871826e-04  4.5500044e-03 -3.9749611e-03  3.9330698e-03]"
5,"In 2005 the NGO Cultural Association Visible in Madrid begins to create a collection of gay-themed art (LGBT), with works donated by artists from around the world. The Visible Collection contains more than four thousand works of artists from thirty countries, what's making it in one of the world's largest of its kind, and now is looking for a space to be displayed. The documentary tells the story of how a project was realized that only seven years ago seemed impossible and now is looking for a ""home"", a museum to house the collection of a stable way and protect it from inclement weather and the vagaries of history and politics.",717502,Documentary,"[-6.6067572e-05 -3.0381933e-03 -2.4053194e-03  1.8037151e-03
 -3.4433289e-03  2.1166289e-03  4.7729956e-03  4.4062221e-03
 -2.7006113e-03  4.0273420e-03 -3.5671715e-03  4.2570382e-03
  2.1181817e-03  6.1883969e-04  1.4848856e-03 -3.3670948e-03
  4.5796367e-04  3.2747169e-03  1.4452283e-04 -1.6046998e-03
 -2.1309518e-04 -3.3185494e-03 -1.8827636e-03 -4.2175474e-03
  2.0729776e-03  3.0825222e-03  4.1045453e-03 -2.2688429e-03
 -4.6532170e-04  1.0420688e-03  1.1240814e-03 -4.4372813e-03
  4.2578396e-03 -3.8756197e-04 -7.2550861e-04 -5.5384298e-04
 -4.2628036e-03 -1.3827533e-03 -1.4247124e-03  8.4440352e-04
  4.2166412e-03 -4.2754058e-03 -4.5203855e-03 -1.0078500e-03
 -1.9796127e-03 -4.1096718e-03  3.7652911e-03 -1.0745761e-03
  1.8253656e-03 -2.6671810e-03 -5.5412488e-04  2.9266039e-03
  4.2024585e-03 -4.2404933e-04  2.7294022e-03 -1.5728836e-03
 -6.5891218e-04 -1.4069614e-03 -3.8882853e-03  4.9386402e-03
 -4.4154739e-03  2.4422586e-03  1.4364050e-03 -6.7417481e-04
 -2.1639476e-03 -4.9288962e-03  8.6736819e-04 -2.6162115e-03
  1.1089676e-03  4.2083957e-03 -4.7427532e-03 -1.3976662e-03
  4.1709896e-03 -4.2175143e-03 -3.6657748e-03  2.4022278e-03
 -3.1752491e-03  2.9684987e-03  1.8570223e-03 -4.0341211e-03
 -2.9175237e-04 -7.1127352e-04  5.8620115e-04  1.7188252e-03
 -3.4798197e-03  2.5224725e-03 -4.0533659e-03  1.9860764e-03
  8.8366529e-04 -2.9221817e-03 -2.9711176e-03  2.4678195e-03
  2.8309405e-03 -3.9238175e-03 -3.2626984e-03  2.1014849e-03
  3.2441868e-03 -3.3143719e-03  4.9397908e-03 -3.2050484e-03]"
6,"Shane Black (""Lethal Weapon""), John Carpenter (""Halloween""), Frank Darabont (""The Shawshank Redemption""), William Goldman (""The Princess Bride""), Paul Schrader (""Taxi Driver""), and dozens of other Hollywood screenwriters share hilarious anecdotes and penetrating insights in ""Tales from the Script,"" the most comprehensive documentary ever made about screenwriting. By analyzing their triumphs and recalling their failures, the participants explain how successful writers develop the skills necessary for toughing out careers in one of the world's most competitive industries. They also reveal the untold stories behind some of the greatest screenplays ever written, describing their adventures with luminaries including Harrison Ford, Stanley Kubrick, Joel Silver, Martin Scorsese, and Steven Spielberg. The film was produced in tandem with the upcoming HarperCollins book of the same name.",38124,Documentary,"[-4.6845619e-03  4.2764354e-03  6.6924207e-07 -3.9276111e-04
  6.4416893e-04 -1.2681931e-03  7.8914955e-04  4.2981012e-03
 -4.7581727e-03 -3.3118660e-03  1.4419422e-03  4.6256697e-03
 -4.0221894e-03 -3.0732413e-03  3.3570689e-03 -3.6137083e-03
  2.4769292e-03  2.8586688e-03 -4.9683456e-03  4.6351613e-03
  1.6446406e-03 -3.2146643e-03 -3.3423915e-03 -4.9223029e-03
 -2.1955539e-03 -2.4743972e-03  3.0252582e-03 -9.3409981e-06
  1.0916683e-03  1.2646933e-03 -3.8044758e-03  3.3325816e-03
  2.0527660e-03 -3.8953268e-03 -1.5088542e-03 -1.2010465e-03
 -3.5088442e-03 -3.1945657e-03 -7.5943599e-04  3.9824243e-03
 -2.1663795e-03 -2.2235441e-03 -2.4461348e-03  4.7985590e-03
  2.0609961e-03  9.2481441e-06 -3.2485192e-04 -2.9149153e-03
 -6.5224164e-04  4.5626023e-04 -4.7330197e-04 -3.9134677e-03
 -4.6644355e-03 -9.1984199e-04 -2.4697785e-03  8.2120707e-04
 -4.0263622e-03 -1.8990570e-03 -9.8882185e-04  4.7860458e-03
  1.2417990e-03  2.1533759e-03 -4.2799427e-03  2.5457423e-03
  2.0170773e-03 -3.3109793e-03 -4.9687279e-03  1.6275212e-03
  2.4106922e-03  4.5657926e-03  3.0711128e-03 -3.6762541e-03
 -2.6600703e-03  7.8147778e-04  3.8130600e-03 -4.2389967e-03
 -3.4782426e-03  4.3023648e-03 -4.4393931e-03 -4.7732783e-03
 -2.4700835e-03 -3.9698971e-03  2.1266607e-03  7.2420144e-04
  3.7969016e-03  2.0613752e-03 -1.6494486e-03  4.7794068e-03
 -7.7183172e-04  4.0832679e-03 -1.4621889e-03  4.9520503e-03
  7.2975329e-04  1.4647918e-03  8.9689239e-04  1.1540012e-03
 -4.2264643e-03 -3.5785423e-03  4.5462912e-03  1.5252545e-03]"
7,"From July 21 through September 10th, 2007, the Museum for Contemporary Art Tokyo held an exhibition honouring Kazuo Oga, the art director and background artist for many famed works from Japan's Studio Ghibli. Over 600 works from the artist were on display, and numerous fans flocked to the one-of-a-kind exhibition celebrating the lush, gorgeous background artwork typifying many a work from Hayao Miyazaki and other Ghibli filmmakers. International fans of Oga and Studio Ghibli have not been left out, however. A Ghibli Artisan - Kazuo Oga Exhibition - The One Who Drew Totoro's Forest allows fans the opportunity to attend the exhibition, as well as watch interviews and testimonials with Oga's contemporaries and collaborators, all subtitled in English.",125142,Documentary,"[ 3.87635734e-03  6.45014923e-04  1.13745616e-03  1.03408226e-03
 -1.85936794e-03 -3.87808518e-03 -4.20402410e-03 -3.37779429e-03
  4.64566145e-03  1.11300184e-03 -8.00005273e-06 -3.25993146e-03
 -4.58442513e-03  3.65657569e-03  2.56604282e-03 -4.07618517e-03
  1.03937800e-03 -7.34560192e-04 -3.89673893e-04  1.04757164e-04
  3.72803333e-04 -3.27191129e-03 -5.49875142e-04  3.30558303e-03
  3.92714050e-04  2.81217066e-03 -1.68731296e-03  4.33293171e-03
 -9.51812137e-04 -1.10390666e-03 -4.41023475e-03 -3.78285069e-03
 -1.89622701e-03  1.14136172e-04  3.92822642e-03  1.62896852e-03
 -2.28545582e-03 -3.16207460e-03 -6.75145769e-04  2.72939145e-03
  4.16340632e-03  1.91106135e-03  3.19979666e-03 -1.24997995e-03
  4.44281753e-03 -4.99704096e-04  4.99297911e-03 -2.96596205e-03
  4.95349476e-03  4.61441791e-03 -2.97808507e-03  3.94769711e-04
  2.92313565e-03  1.24267640e-03 -2.33634608e-03 -3.90973920e-03
  2.01423583e-03  2.76328786e-03  3.23923118e-03  4.04197024e-03
  9.43379768e-04 -1.64455187e-03 -2.71750637e-03 -3.73956771e-03
  2.98078987e-03 -1.15001469e-03  8.88456590e-04  1.62758376e-03
 -3.73415952e-03  4.09604330e-03 -4.96762944e-03  3.24827200e-03
 -3.53304530e-03 -1.01676770e-03  1.04639912e-03 -1.58082243e-04
  4.41247085e-03 -3.40231205e-03  1.37900628e-04  1.18987099e-03
 -3.49477306e-03 -1.68767851e-03  3.33664077e-03 -1.74763519e-03
 -1.51619466e-03 -2.90490128e-03  3.90090863e-03  1.67739158e-03
 -4.50897543e-03 -5.32052596e-04 -7.72615953e-04  4.92031686e-03
  1.33768457e-03  2.57444824e-03 -1.05861528e-03  1.20607007e-03
  2.09055282e-03 -3.89113184e-03  4.25965805e-03  4.98426787e-04]"
8,"A music documentary following the breakup of Swedish House Mafia and their subsequent One Last Tour. The largest electronic tour in history, selling over 1 million tickets in one week. Director Christian Larson captures the band in a unique fly on the wall manner as they call it quits and seek closure by going on the tour they had always dreamed of. With breathtaking live moments, huge laughs and dark lows, the band start to unravel why they came to the decision to end the biggest achievement of their lives to date to save their friendship.  The film maps out three of the biggest stars in a scene which has gripped youth the world over and the psychology of the band. A film not to be missed.",250578,Documentary,"[ 0.00051497 -0.00067278 -0.00017824 -0.00107849  0.00105668  0.00161514
  0.00331129 -0.00140628  0.0025932  -0.00206893  0.00226871  0.0025351
  0.00478609 -0.00262338 -0.00296245 -0.00020361 -0.00233751  0.00357678
 -0.0045949  -0.00430083 -0.00449196 -0.00302163 -0.00274027 -0.00093212
 -0.00092277  0.00294812 -0.00093394  0.00322375 -0.00050079  0.00360092
  0.00383854 -0.0018387   0.00293597  0.00137248 -0.00445192  0.00122332
 -0.00340541 -0.00070756 -0.00484839  0.00020115 -0.00054383  0.00409469
  0.00218803  0.00079466 -0.00371751 -0.00145108 -0.00422115 -0.004758
 -0.00045232 -0.00326747  0.0006489   0.00465268  0.00112266 -0.00353818
 -0.00462581  0.00297447  0.00442704  0.0034841   0.00144905  0.00277659
  0.00224868 -0.00161473 -0.00462729  0.00086704  0.00180966 -0.00379466
 -0.00338624 -0.00212399 -0.00139943 -0.00118295 -0.00249454  0.00431637
  0.00461411 -0.00145975 -0.0025386  -0.00176908 -0.00161148 -0.00224809
  0.00483794  0.00363347 -0.00344115 -0.00128603 -0.003021    0.00338414
 -0.00090905  0.00168499  0.00092443 -0.00120472 -0.00060501 -0.00048032
  0.00119901  0.00386534  0.0046149   0.00229153  0.00429872  0.00394734
 -0.00237994 -0.00351937  0.00191604  0.00293918]"
9,"The Story Of X takes you to the earliest days of adult films when men peddled stag reels and projectors out of the trunks of their cars, then through the movie house years to the arrival of the home video business, and now the Internet. Meet the men behind the camera, such as ""King of Sexploitation"" Dave Friedman and the preeminent breast man Russ Meyer. Considered pariahs at the time, they're now hailed as pioneers in the fight against censorship. The Story of X visits the 60s when women's rights, not nudity, became the issue and recounts porn's arrival in Hollywood, led by director Bernardo Bertolucci's Last Tango In Paris. In the 70s, several groundbreaking films, including Behind The Green Door featuring Marilyn Chambers and Deep Throat featuring Linda Lovelace, took the genre to a new level.",5704,Documentary,"[ 2.5133535e-03  4.8623765e-03 -3.2545162e-05  3.8689596e-04
 -2.5966698e-03  3.0439419e-03  1.2844963e-03 -3.0359006e-03
 -3.5023435e-03 -4.5059534e-04 -1.1972877e-03 -3.3811289e-03
 -3.5813607e-03 -3.5424668e-03  2.8018742e-03 -2.5458434e-03
  4.4109356e-03 -3.4588005e-03 -1.5486848e-04 -1.3095010e-03
 -4.4702934e-03 -3.5385662e-03 -3.1981358e-04  4.9267858e-03
  4.2693615e-03  4.8420182e-03  2.7419368e-03  4.2882753e-03
  1.5814616e-03  4.5257751e-03  3.0922107e-03 -4.0309434e-03
 -1.2626707e-03  4.4798465e-03  4.0324382e-03  2.7143497e-03
  4.8190621e-03 -3.2766873e-03  3.8044876e-03 -4.4739945e-04
 -3.0042543e-03 -3.6588171e-03  1.3633983e-03 -3.3003397e-03
  3.4033384e-03  2.0377506e-03  3.5582467e-03 -4.9514207e-03
 -3.5395736e-03  4.9999505e-03 -5.1870395e-04  8.2492456e-04
  3.0195755e-03  3.6106135e-03  2.6380962e-03 -3.6937455e-03
 -2.8632400e-03  4.2567411e-04  1.3891780e-03 -3.2632160e-03
  3.9694500e-03 -3.8654662e-03 -2.0415967e-03 -2.2404029e-03
 -4.0838751e-03  4.6957581e-04 -2.4094328e-03 -2.6570130e-04
  4.5509841e-03 -4.9353787e-03  1.5376837e-03 -3.5168398e-03
 -1.2666045e-04 -1.5610793e-03  1.8458618e-03 -3.0199084e-03
 -2.6160150e-03 -3.7627236e-03  9.1877248e-04 -4.2714991e-04
  3.3435128e-03  2.4828350e-03  3.4792558e-03  1.1760253e-03
 -3.3234470e-03  3.3748478e-03 -3.5278136e-03  4.2817546e-03
  3.7998422e-03  3.6801726e-03 -2.4495237e-03 -1.6749589e-04
 -2.0331598e-03  2.6321129e-03  3.4779406e-03 -1.1298683e-03
 -1.4894066e-04  1.2075277e-03  4.1724867e-03  7.2231161e-04]"
