"adult","backdrop_path","belongs_to_collection","budget","genres","homepage","id","genre","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
false,"/nOxqs3JhSfabikw0Q6YeAHj7ogw.jpg",,0,"[{""id"":12,""name"":""Adventure""}]","",459639,"Adventure","tt0046305","en","Shark River","Nobody has an easy time of it in the costume actioner Shark River. Wanted for murder, Clay Webley (Warren Stevens) and his wounded cellmate Curtis Parker (Robert Cunningham) hack their way through the Florida swampland. With the help of Clay's brother Dan (Steve Cochran), Clay is able to elude the authorities, but Parker dies of a snakebite. Subsisting on alligator meat, Dan and Clay make their way to the tiny cabin inhabited by widowed Jane Daughterty (Carole Mathews), her mother-in-law, and her son Johnny (Spencer Fox). The brothers rest here awhile, formulating plans to cross the Gulf of Mexico and head for Cuba.",0.915,"/wqxpZXAZY65obCTeYFF99WqZsrM.jpg","[{""id"":60,""logo_path"":""/oJXpAs4I3W46e4dkaOEzCa4yBko.png"",""name"":""United Artists"",""origin_country"":""US""},{""id"":90922,""logo_path"":null,""name"":""John Rawlins Productions"",""origin_country"":""""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","1953-11-13",0,80,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","THEY EAT 'EM ALIVE IN Shark River","Shark River",false,0,0
false,"/e63nYTEQD6Wq5dglwZUUCkEzIUE.jpg",,0,"[{""id"":9648,""name"":""Mystery""},{""id"":10751,""name"":""Family""},{""id"":12,""name"":""Adventure""}]","",461256,"Adventure","tt0175824","ru","Кортик","The teenager Misha Polyakov, being with his mother in a Ukrainian village on vacation with his grandmother and about to return home to Petrograd, offers his best friend Genka to go with him. Suddenly, a white gang of Nikitsky bursts into the village and attacks Misha’s house, where Commissioner Polevoy lives. The purpose of Nikitskiy (aka Nikolskiy) is a dagger located at Polevoy. Saving the commissioner, Misha learns from him the history and secret of the weapon, and receives it for storage with a request to solve the secret.  Having returned with adventures to Petrograd, Misha Polyakov with friends begins to unravel the riddle of the dagger, in the handle of which is encrypted text.",0.665,"/t3b5nEWBXPey5QZ4NArNJs3iFqn.jpg","[{""id"":10845,""logo_path"":""/8qh5BEyKYOQ0e81LPbvWHQvyOy5.png"",""name"":""Lenfilm"",""origin_country"":""SU""}]","[{""iso_3166_1"":""SU"",""name"":""Soviet Union""}]","1954-11-26",0,83,"[{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""}]","Released","Dagger will reveal its secret to those who deserve it...","The Cutlass",false,0,0
false,,,0,"[{""id"":9648,""name"":""Mystery""},{""id"":53,""name"":""Thriller""},{""id"":28,""name"":""Action""},{""id"":12,""name"":""Adventure""},{""id"":80,""name"":""Crime""}]","https://mcms.lcsd.gov.hk/FAMS_ipac/cclib/search/showBib.jsp?oai=Y&f=e&id=65537176870405",860055,"Adventure",,"cn","秘密三女探","The Flying Dragon gang goes on a rampage and the police Inspector is at his wits' end. He then commissions Wong Ngung, Wu Ngar and Heung Nga to help him catch the gang members. Suet-ying, a young woman, is addicted to gambling and owes a huge sum to the gambling den that belongs to the Flying Dragon gang. She has even signed IOUs. When the younger sister of Ying's husband sees that Ying is weighed down by worries, she asks Wu Ngar for help. Wu Ngar sneaks into the gambling den, but her behaviour is suspected by the gang leaders, Tai-kit and Tai-hong. Fortunately, Wong Ngung saves her. To get back the IOUs, Ying falls under the control of Hong and Kit. Master Lung has evil designs on Ying. He first kills Kit and seizes Ying. Hong then shoots and kills Lung. Wong Ngung and her two partners get back the IOUs for Ying. They notify the police Inspector to arrest the members of the Flying Dragon gang. Hong is shot and injured by Wong Ngung. He is arrested with the other gang members.",0.665,,"[{""id"":158841,""logo_path"":null,""name"":""Yuet Ming Motion Picture Company"",""origin_country"":""""}]","[{""iso_3166_1"":""HK"",""name"":""Hong Kong""}]","1960-09-21",0,85,"[{""english_name"":""Cantonese"",""iso_639_1"":""cn"",""name"":""广州话 / 廣州話""}]","Released","","Wong An Vs. the Flying Tigers",false,0,0
false,"/tmJiWuEH9OncCO5Pp3mnToFbd9M.jpg",,0,"[{""id"":12,""name"":""Adventure""},{""id"":53,""name"":""Thriller""}]","",659423,"Adventure","tt2265561","en","Stone Markers","""I see you, friends..."" So says an eerie voice in the woods that seems to haunt identical twin brothers, Cory and Connor Sherman and their three friends after they discover a strange stone marker in the woods. And when a mental patient escapes and a young boy disappears, the group embarks on a quest that uncovers information related to the disappearances of seven children more than thirty years earlier. But what starts out as an adventure soon turns terrifying as one of the boys goes missing and the remaining boys are confronted by a horrifying truth that threatens their very lives.",1.168,"/8RoxG7C3vhlCACo0i2rYbnkwSOn.jpg","[]","[]","2012-01-01",0,0,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","""...I see you friend""","Stone Markers",false,0,0
false,,,0,"[{""id"":12,""name"":""Adventure""},{""id"":99,""name"":""Documentary""}]","http://www.level1productions.com/smallworld.cfm",362327,"Adventure","","en","Small World","Go out into the world, they say… see it for yourself!  But in an age where any destination is in the palm of your hand- just a click away, what is left to truly explore?  Level 1 examines the universal dialect of moving down snow on two feet through a lens of fresh perspective- documenting the outer niches of a sport pushed under the rug by the modern day ski zeitgeist.  From the secret valleys of Switzerland, the ancient cities of Estonia, to the rowdy rope-tows of Minnesota- follow us around the globe as we capture skiing in its purest form. It’s a Small World, after all.",0.658,"/raLJdgYQegLPEHMlfXftx4HlXhS.jpg","[{""id"":11108,""logo_path"":""/7Jtc9MZ45zdqoSoE9jgvuSLjgEL.png"",""name"":""Level 1 Productions"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2015-09-20",0,53,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","","Small World",false,0,0
false,"/43YYw9iLzNzGpnFDJ5fQuTOypZk.jpg",,0,"[{""id"":16,""name"":""Animation""},{""id"":878,""name"":""Science Fiction""},{""id"":12,""name"":""Adventure""}]","",870648,"Adventure","tt6423474","zh","丑小鸭历险记","The ""robot duck"" from the moon, Ani, is adopted by a mother duck of the prairie flying duck family by chance. A Nai firmly believes that he, like the other ducklings, is eager to be able to fly. The super power chip on Ani's body attracts the tracking of the moon people, and it turns out that Ani is a super bomb used by the evil scientists on the moon to destroy the earth's atmosphere. With the coyotes chasing him, Ani and his buddies go south to reunite with the migrating ducks. Despite the danger of the chip explosion, Ani defeats the evil doctor and helps the duck flock to reach the south with love, affection and bravery. Ani also realized his dream: to grow up to be a real flying duck.",0.658,"/pKdqlGzIJYlGvcx27TQAbANYNI0.jpg","[]","[]","2016-07-02",0,81,"[{""english_name"":""Mandarin"",""iso_639_1"":""zh"",""name"":""普通话""}]","Released","","The Adventures of the Ugly Duckling",false,0,0
false,"/mkqU5QtbcYrjD1HuUULaUFAUNzx.jpg",,0,"[{""id"":18,""name"":""Drama""},{""id"":12,""name"":""Adventure""},{""id"":10751,""name"":""Family""}]","",441068,"Adventure","tt11474936","id","Iqro: Petualangan Meraih Bintang","Aqila, 9 years old, is a highly infatuated girl to the science but lack the interest in learning the Qur'an. Aqila has a grandfather who works as an astronomer and stays at the Center Boscha Star Observation. Aqila intends to make school work related to astronomy. Her grandfather gives Aqila permission to use binoculars in Boscha to complete the task, but with one condition: she should be able to read the Qur'an. Aqila promises it. In her grandfarher’s house Aqila met Ros, daughter of the maid. Ros asks her to play in a mosque. In the mosque Aqila learn to read the Qur'an in a Iqro method, which is fun, rhythmic and sung lightly. Aqila’s experience of learning the Qur'an and the example of his grandfather is what inspires her mind of the greatness of Allah who created the universe.",0.673,"/iQ8BzodoNVIEOvlOh2xTKjjdnoO.jpg","[{""id"":90862,""logo_path"":null,""name"":""PT Bumi Prasidhi Bi-Epsi"",""origin_country"":""""},{""id"":102100,""logo_path"":null,""name"":""Chanex Ridhall Pictures"",""origin_country"":""""},{""id"":123698,""logo_path"":null,""name"":""Masjid Salman ITB"",""origin_country"":""""},{""id"":120008,""logo_path"":null,""name"":""Salman Film Academy"",""origin_country"":""""}]","[{""iso_3166_1"":""ID"",""name"":""Indonesia""}]","2017-01-26",0,97,"[{""english_name"":""Indonesian"",""iso_639_1"":""id"",""name"":""Bahasa indonesia""}]","Released","","Iqro: Petualangan Meraih Bintang",false,0,0
false,,,0,"[{""id"":18,""name"":""Drama""},{""id"":12,""name"":""Adventure""},{""id"":80,""name"":""Crime""}]","",743242,"Adventure",,"ru","Отличница","April 1958. Maria Krapivina, a graduate of the law faculty of Leningrad University, Department of criminal procedure and criminalistics, is assigned to the UGRO of the Central district police Department. Just a girl, an excellent student, the daughter of intelligent parents falls into a team consisting of rough and experienced operatives who have passed the war.  On the first day, Masha wants to quit. But she gets her hands on information about a traitor in the Department associated with a large and audacious gang. Masha decides that it is her duty to stay and uncover the ""mole"". And also to prove that it is worth something. Everyone falls under suspicion, including the head of the Opera Department of the Swedes ,the ""uncouth lout"", with whom Masha unexpectedly falls in love, and every day more and more..",0.674,"/nfzqbprUsOt7IXqpfufxsV8ZNzY.jpg","[]","[]","2017-04-25",0,140,"[{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""}]","Released","","Neophyte",false,0,0
false,"/yeX4Zq6Ov4t6289p6UDJXe00byD.jpg",,0,"[{""id"":10751,""name"":""Family""},{""id"":14,""name"":""Fantasy""},{""id"":12,""name"":""Adventure""},{""id"":16,""name"":""Animation""}]","http://www.hamutaro.com/",355144,"Adventure","tt1186219","en","Gekijô ban Tottoko Hamutaro: Ôrora no kiseki - Ribon chan kiki ippatsu!","A young fairy hamster named Crystal appears before Bijou. In the snow, the two vanish off somewhere. The Ham-Hams give chase and arrive in the legendary Aurora Village. Legendary hamsters of the winter called Snow Hams live here. The Ham-Hams are told that it has not snowed in the village for a long time. The Snow Hams are troubled because it is hot even though it is winter. They also say that Snow Princess Bijou is the one who can help. But, Bijou is kidnapped by a mysterious pirate ship! Pirate Hams who hate the cold start to interfere in order to prevent snowing. The Ham-Hams picket against the captain of the pirate ship to get Bijou back. The talks with the pirates result in the decision to put Bijou on the line in a Ham-Ham Grand Prix. The competition between Hamtaro and the captain consists of running, skiing, Formula car racing and others. Can Hamtaro win the Grand Prix and save Bijou?",1.416,"/cFGRmcV10N9407RQAkR4Gupgd4N.jpg","[{""id"":9149,""logo_path"":""/isLUpud9N56ifftJZ4XvzwBBpoG.png"",""name"":""Shogakukan"",""origin_country"":""JP""},{""id"":7164,""logo_path"":""/vHsaqTkQ2ZTbdqrCA272YahoVlg.png"",""name"":""TMS Entertainment"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2003-12-13",0,53,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Hamtaro: Miracle in Aurora Valley",false,0,0
false,"/bIBZZ4qe1l63ywG2jItqH5aXNNw.jpg",,0,"[{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""},{""id"":12,""name"":""Adventure""},{""id"":10402,""name"":""Music""},{""id"":10751,""name"":""Family""}]","",160984,"Adventure","tt0175948","az","Qorxma, mən səninləyəm","The story developed during XX century in Russian empire, Azerbaijan. Two circus actors Rustam and his friend San Sanich travel to a village where Rustam was born after long years of absence, to burry his aunt. After burring his aunt, friends decide to stay in her house for couple of days. A local wealthy inhabitant of the village Farzali bek, is looking for oil, and finds out that the land which now officially owned by Rustam might have some oil repositories. He learns that Rustam is back and wants to take him out, to put his hands on valuable land. A young theater singer Teymur is in love with Farzali bey's beautiful daughter, Telli, but has nothing to offer to marry her. Yet he decides to speak with her father. While planning to ""sell"" his daughter to one of other wealthy bey's son, Farzali bey still promises that if Teymur will kill Rustam, he will let Telli marry him. Rustam and his friend San Sanich defend Teymur, but after talking to him become friends. They decide to help ...",1.187,"/1XkFa7AhfnldDYCHq7i4GT2EP4W.jpg","[{""id"":29866,""logo_path"":""/xT6f8MeShW56K4pNS08YL7cDwOK.png"",""name"":""Azerbaijanfilm"",""origin_country"":""SU""}]","[{""iso_3166_1"":""SU"",""name"":""Soviet Union""}]","1981-06-29",0,149,"[{""english_name"":""Azerbaijani"",""iso_639_1"":""az"",""name"":""Azərbaycan""},{""english_name"":""Russian"",""iso_639_1"":""ru"",""name"":""Pусский""}]","Released","","Don't Be Afraid, I'm with You",false,6.9,9
